,2022-12-05
0,"Just When We Thought King Coal Was a Pauper
#Energy #Crisis #oil #gas #minerals #money #moneytok #royalty #income #cash #inflation #recession #world #Food #ClimateCrisis #climate #water #oilfield #green #energybills #coal
https://t.co/JfY8GpYBvs"
1,"Alberta officials withholding list of 100s of dangerous oil &amp; gas sites from public. Documents reveal Alberta Energy Regulator kept a confidential list of ‘potentially high risk’ sites, including some that could endanger public safety, since at least 2019 https://t.co/fmIakdJM9O"
2,@GavinNewsom Californians are the only state paying gas prices like these.  Perhaps it’s something to do with the policies in CA rather than simply the oil companies price gouging?  Something to ponder…
3,Two energy industry groups filed a lawsuit today alleging the Biden administration has failed to comply with federal law requiring periodic auctions for oil and gas drilling. Joe Biden has issued at least 39 new regulations and executive orders restricting energy independence.
4,@GavinNewsom It's time for California to stop ripping us off with high gas taxes and by over-regulating the gas and oil industry in our state. Your policies are oppressive. Stop blaming oil companies for something you can easily do something about.
5,@WSJ How about they discuss relaxing over zealous legislation forcing Oil companies to shut down refining in the state and driving the price of gas ever higher.  California gas requirements means gas can only be produced in a handful western located refineries.  Limit the supply?
6,"Sigue: the Argentine oil, gas and electricity market.
As reported by U.S. Securities and Exchange Commission, he did so through a company based in the Bahamas, and Hidden Lake SA,
whose domicile is in Buenos Aires. An ordinary day, while in the world things that no one remember"
7,¡Oil &amp; Gas Reporter está disponible! https://t.co/kUVRv7xpja Gracias a @WorldOil #oilandgas #upstream
8,"The Science of Plant Food
#Energy #Crisis #oil #gas #minerals #money #moneytok #royalty #income #cash #inflation #recession #world #Food #ClimateCrisis #climate #water #oilfield #green #energybills 
https://t.co/g8MtaIf7Kk"
9,"@OANN Russia earns a billion dollars a day selling oil and gas, while we spend a billion a day in interest on our debt,..."
10,"Prices at the pump have plummeted over the past month—but a dramatic move from the U.S. and allies meant to slash Russian oil revenue and cripple its war effort could send gas prices rising again, some energy analysts told @ABC News. https://t.co/HMxqx8mpMw"
11,"Third-quarter profits of biggest #CA gas producers: $25,000,000,000

Cost of a gallon of gas in early October: $6.42 ($2.60 higher than the nationwide average)

State taxes and fees per gallon: $0.69

Oil company reps at @CalEnergy Nov. 29 hearing on record high gas prices: 0"
12,"Greater transparency and oversight are needed to protect #CA consumers from gas price spikes. The oil industry’s decades of deception about climate change have taught us that we need greater accountability from #BigOil.
https://t.co/kXExUrs1vh"
13,@POTUS But still way higher than when you took office and shut down oil and gas production.
14,@GavinNewsom But we’ll continue to be gas lite by our own corrupt government. Let’s not forget how full your pockets fit while giving billions to Ukraine. You are part of the corruption just as much as oil companies
15,@VP Let's all remember Southeastern Kentucky and the TMTHE BREACHING OF THE CLEAN WATER ACT!!!! AND LETS NOT FORGET THOSE ABANDONED MINES(MINERALS) GAS AND OIL WELLS AND THE ONES STILL ACTIVE.RADIUM READINGS OF 228 AMD 226.WE HAVE SENT OUT OUR OWN SAMPLES TO A CERTIFIED LAB. SHAME
16,"@Derricktgoat EXACTLY. Tired of being pushed into a corner by Justin. He has an agenda and it does not include Alberta, it includes Alberta's money for sure. My question is where does he think Alberta is going to get money without Oil and gas."
17,@sahafism @FinancialTimes 2 most richest country in the world in natural resources that’s include important minerals for the energy transition and have the most cheap oil &amp; gas in the world the home of the two holy mosques of Islam that 2B pray to 5 times a day the birthplace of Islam and biggest economy
18,@POTUS day Biden took office gas was 2.25 fact 1 year later Russia. But we jump a fact he signed bill to make pumping oil on any lease so costly n near impossible to do so none did. Problem is Biden he did this  he knows it America knows this Blame Russia why we were an oil power
19,"https://t.co/Q7xONSYSsp Maintenance HSE Advisor Date advertised: 04 Dec 2022 - *NEW* Wood Mining, Oil and Gas | National Capital District, Central Wood is currently recruiting Maintenance HSE Advisors to join our team in LNGP, Papa Lealea, Papua New… https://t.co/iXZHnqcKk6"
20,"Gas&amp;oil is fun to play with at night...

Will Eth go green?"
21,@GavinNewsom Sure place the blame on the producer and not the administration that caused it. Then again you would also be to blame with your tax rates on oil and gas.
22,"@Eric_Schmitt https://t.co/M0JVcIrOdD  Biden approved 3,557 permits for oil and gas drilling on public lands last year, outpacing Trump's first-year total of 2,658.  Most drilling takes place on state or private land, which hasn't been restricted by the administration's policies."
23,"@benhameenTaft @Jimmcnary @aaronjmate @grynbaum @mtaibbi Of course theres more to the world than the US but its undeniable that the US meddles in order to expropriate value. US taxpayers are funding a war in Ukraine that ultimately centers around access to oil and natural gas, and Burisma is a holding company for energy exploration1/2"
24,"@patricklobo01 @atRachelGilmore @StewGlobal @JeffSempleGN No but Alberta will gladly sell oil and gas to Europe to displace Russian oil and gas, but we can’t because the feds don’t see a business case for doing so."
25,"@Yeeted_Utensil @PrimoRadical @elonmusk Name something they conserve? They’re in favor of drilling every last drop of oil, clear cutting every last acre of forest, knocking every mountain over where there may be coal… they are almost all overweight, abuse the medical system, drove gas guzzlers and “roll coal” etc."
26,"@StefanTymkewycz @BBCNewsnight Gotta do something to get that Russian business back eventually, right? We can't admit to Russian war crimes, how will Britain get its cheap oil and gas back?!"
27,California legislators opened a special session Monday to explore the possibility of levying penalties on the oil industry for what Democratic Gov. Gavin Newsom has called price-gouging of consumers https://t.co/3gq3e2FP9x
28,@gahamalian Russia is often blasted for selling oil and gas much cheaper to its close allies. Now the EU seems to expect the US be more like Russia.
29,"not that anybody that cares will actually pay attention to this arrest.... but who controls the Gas prices is pretty clear if you dig a little deeper and do a little bit of homework on who’s working with and for big oil companies!

PS it’s not POTUS.
PSS. Gas Over Priced. #GOP https://t.co/2jApI6b62N"
30,"Energy groups sue Biden admin for failing to hold oil, gas lease sales again https://t.co/vYqgRKXgkR #FoxBusiness"
31,"Gas and oil companies are saving time and money by using Fulcrum for field inspections, surveys, testing, and analyses.

Check out some of the digital processes they're using and try them out for free! https://t.co/P0yvGhN2Ku

#oilandgas #upstream #downstream https://t.co/BoCKBwD895"
32,@Telegraph Seems to me there all making fortunes oil /gas /water/ food to put restrictions on the public like a kind of pay off to enable the climate agenda ?
33,"@AntifaOfficer @hoothathuh @TomDoubting @cbeckj @VictorJennpaul @JohnOz1900 @newsjunky2 @ThinkyTexan @glinch72 @FiendInno @NGrossman81 Duh
Can’t blame Carter for 1979 gas shortage or Nixon for 1973-75.

just like Biden isn’t at fault. Domestic oil producers have cut back production 20%. Just to make billions and punish Democrats I assume.  It wasn’t because they couldn’t get oil out of the ground.
Its never been"
34,@GavinNewsom Why was gas affordable under the Trump administration?? And not the Biden administration?? Why were we energy independent under Trumps administration &amp; not Biden’s?? What made such a big change jn 2 years? It sure as hell isn’t the oil companies! It’s democrats!!!
35,"Elon Musk Says HES NOT SUICIDAL After Exposing FBI, Democrat Collusion To Interfere In 2020 Election https://t.co/ZHPOoxmnj0 
If Elon or Trump are suicided, war will be unavoidable.
#MAGA #2A #gas #gasprices #oil #economy #recession #vote #USA #guns #4chan #pedopeter #PedoHitler"
36,"@KTVU 🤡. It’s not the oil companies…take the Fuk’n tax down from 52% 

Why are we being charged a 52% tax on gas…ENVIRONMENT??? 🤡."
37,"Forecast of oil and gas prices is favorable for Russia

https://t.co/ZGAEac302M https://t.co/e3MmhHV9sJ"
38,@POTUS Its going up! Because he is putting a Freeze on Russian Oil Starting Tonight! Natural gas going up too. We need Trump Back! It was .99 cents a gallon. lowest! highest $1.47! This guy doesn't know what he is doing. Except to Wreck our Country!
39,"@SenWarren I call Bullshit! It’s Biden’s policies that have created the rise in cost. When he started importing and making us energy dependent on oil from other countries, we now have to pay a higher price for oil which trickles down to gas and every item that needs to be delivered!"
40,@POTUS What's the price of natural gas and heating oil?
41,"@MelizaHaradinaj Iran is seen as a major alternative for buying fertilizers for Serbian agriculture sector that is still one of the vital parts of its economy.

It's also for alternative to gas an oil and engineering since 🇷🇸 planed to use Tehrans experience while building a metro in Belgrade."
42,@Haz_el_eyes @slraider @ZavalaA Show me where charging or penalizing oil companies has ever resulted in lower gas prices
43,So says the man who inherited Getty Oil empire fortune.  While he has the highest gas taxes in the country and now adds another tax of regulation to his struggling middle and lower class citizens.  Gavin I pray you will have Satan removed from your heart. Amen. https://t.co/VebZLMzYnO
44,"Tune Up KIT Cabin Air Oil Filters Plugs for Honda Civic DX; EX; LX; 1 8L 2006-2009 (R18A1 Eng ; SOHC; Gas) FJOKXQM

https://t.co/SJSBzkFDYo https://t.co/gsWx7D6BqS"
45,"This is why you don't just jump ship off oil and gas. They are back to burning heavier polluting coal and cutting down trees. Fools.
#ClimateScam https://t.co/vGl77FdIrY"
46,"@SrivatsPrakash @EPBResearch Housing market in general.
Energy in general with specifics on oil (price caps, SPR, supply), natural gas and nuclear/uranium. 
Thank you"
47,"@TwitNoGetMyNum @polarstern64 @NancyFaeser Our cars are Korean and Japanese, their clothes are Turkish, because they are better than your clothes, which are of poor quality, and you live on our oil and gas, or have you forgotten that?"
48,"@JustinTrudeau @GMcanada SHOVE CLIMATE CHANGE UP YOUR ARSE! When technology FINALLY comes around that won’t destroy the earth MORE than coal, gas &amp; oil…THEN THINK ABOUT CHANGIN! Your killin our damned country more than anyone in history! JOBS WERE PLENTIFUL WITH PIPELINES &amp; RIGS! Pleeeeease STEP DOWN!🖕"
49,"Energy groups sue Biden admin for failing to hold oil, gas lease sales again https://t.co/pl4yvMHTHR #FoxBusiness"
50,"""As deepwater oil and gas production is set to increase by 60 per cent by the end of the decade, Wood Mackenzie, an energy intelligence group, has outlined in its global upstream report the drivers of deepwater’s rapid growth...""
https://t.co/42GsNh1lrx https://t.co/1K9GycpOnC"
51,"@oleksiireznikov Furthermore: in 1993, the Ukrainian and Russian governments signed a series of bilateral agreements giving up Ukrainian claims to the nuclear weapons and the Black Sea Fleet, in return for $2.5 billion of gas and oil debt cancellation and future supplies of fuel for its reactors"
52,@POTUS That’s like stabbing me then putting your finger in the hole too slow the bleeding and you telling me how good I’m doing because you slowed my bleeding with your finger after you pulled the knife out.. Come on man..! $1.80 before ur gas oil war.
53,"Government of National Unity lifts force majeure for oil and gas exploration
https://t.co/zbxbHmPvDH #Libya #ليبيا https://t.co/w0EeLuNPha"
54,"Energy groups sue Biden admin for failing to hold oil, gas lease sales again https://t.co/3rruPXz0TU #FoxBusiness"
55,"@RaeInWa @desertvigilante @DavidTheus @POTUS “Rare minerals” 🤣🤣🤣🤣 🥸wotobout da way it messes our envirement up like mf do u know that drilling oil and cars right naw are basically so damn dirty did u think it was clean ? Electric cars don’t rely on gas for 200,000 miles imagine billions of people using gas at once"
56,"Energy groups sue Biden admin for failing to hold oil, gas lease sales again https://t.co/WjyzClHr20 #FoxBusiness"
57,"@SciTechAction China is on the way to oblivion, they are the oldest country in history now, worse every year for a long time, and they have no oil or gas"
58,"@POTUS Yup record food, grocery, gas, heating oil, diesel fuel, electricity prices! Way to go Brandon!"
59,"@GavinNewsom Hey Greasy, a couple years ago we were paying $2.00 a gallon, every time I came through your state gas jumped up to over $3.00. I really don’t think that was the oil company’s fault"
60,"@GavinNewsom And oil companies will just pass that penalty onto consumers, like the gas tax. Nice one, Gabby!"
61,@Northerngold01 Watched a documentary about it few days ago. 1 megaton of Sulphur dioxide every 3 days. Way way worse than co2. That stuff kills at very low levels. Ask a oil and gas guy about so2. Deadly.
62,@WatcherGuru Dems will definitely use executive agencies to cause pain for Elon. Just like they do on oil and gas and coal.
63,"@OANN while democrats are shutting down oil and gas in America, Pelosi, John Kerry, Joe Biden, etc., have their kids working for oil and gas companies overseas...."
64,https://t.co/reg5ysJwot
65,"BNEF predicts that even if governments don't take further action on climate, fossil fuel use will peak based on economics of renewables. Oil in 2029, gas in 2032!! https://t.co/VfVxF9Gvck"
66,@SenWarren Or drill for oil and natural gas
67,"@business Oil and gas lobbies are very powerful, they’ll agree to take steps to reduce when they’ve found another revenue stream that poisons the earth"
68,@GavinNewsom Sounds like the price of gas is gunna go up even higher in California. Big oil ain’t gunna just eat that loss. Their gunna pass it on the the consumers.
69,"@Zigmanfreud The way they twist the oil prices and gas prices is about as well played as climate change, not one honest thing front these politicians, their audience is useless idiots who eat this shit up!"
70,"@tan123 same old horseshit from the same old people.
@SenWhitehouse 
You blame the oil and gas companies but what about the millions who use those products to get to work, to work, to heat their homes, cook their food.
And that includes you, you hypocrite."
71,"@amplicity @MatthewWielicki Don't forget big tobacco spent decades and millions on ads + covering up studies which showed smoking was deadly

Similarly, big oil/gas/coal has spent hundreds of millions on climate denial propaganda

They esp love getting into bed with geologists like Ian Pilmer and Matt here."
72,@LoriMills4CA42 @POTUS Well the oil companies have 9k leases they can explore if the want!!! Duhhhhh.     Ooo wait but he won't give out any new permits!!! That's why gas is so expensive
73,"@POTUS reality is the reduction in gas price is due to the fact that GOP took majority of Congress.  A split government drove Oil futures to sell off, hence decrease.  The oil futures originally spiked when ur oil supply-cutting policies drove futures higher. ur admin can explain it 2 u"
74,"@bymichaeldunn @mferreriptbokaw That's a fair question. I'm not sure I have an answer -- except to say that when you dig into the Canadian data, most of the increase in profit margins is happening in the oil, gas, and mining sectors."
75,"@GavinNewsom If I were an oil and gas company I’d pull out of Cali immediately and say good luck, you can start your cars and heat your homes with San Fran and LA bums piss."
76,"California lawmakers kicked off a special legislative session to consider punishing big oil companies for their supersized profits.
https://t.co/NIWV4JVSm0"
77,@tylswil @GovStitt Roads are bad because they give oil and gas tax breaks and incentives.
78,Ongoing Employment Opportunity for Front Desk Officer in an Oil &amp; Gas Servicing Company https://t.co/zptbC87ZJU
79,@akafacehots @POTUS Russia is a big oil producer and it affected worldwide whenever they invaded Ukraine and started murdering men women and children. But gas prices have been increasing even during Trump's so called presidency https://t.co/iYWB9UGsiH
80,"Newsom unveils plan to cap oil refinery profits, accusing industry of gas price gouging https://t.co/Z3GEcvqgXX #breakingnews"
81,"@karmamum1 @sidneypaget @davidkurten We are all being conned...
https://t.co/9DVFmINO2k"
82,"@Zigmanfreud Maybe this will cause the oil suppliers to want to send more oil &amp; gas to Arizona, thereby lowering our prices further??? https://t.co/1vgGI5ZgFk"
83,@GavinNewsom What in the holy hell are you talking about? Gaslit by oil companies? It’s the price of oil that drives gas prices. And the price is driven by demand &amp; supply. And supply is driven by how many pipelines/oil extractions there are.
84,@GavinNewsom Whatever happens to that gas check you promised again nothing empty words your one of the biggest corrupt governor ever go grease your hair with that oil
85,#Oil &amp; #Gas #Texas #energy https://t.co/EQnBAqqaoZ🚧⛈️🇺🇸
86,Breaking: Gas prices at the pump are expected to fall below $3.00 by Christmas! Thanks to @POTUS for his excellent leadership in working with oil companies to help Americans
87,@GavinNewsom Gas in the USA is expensive because of all the safety precautions we take on our rigs this takes way more to get the oil out of the ground thus driving cost upThis will hurt the boys that are in the fields American wells are safe try Africa those dudes die all the time not us tho
88,@maxfawcett I see you're still working for anti oil and gas publication... Plenty of money coming in from your sponsors then?
89,@JustStop_Oil @damiengayle @guardian we need more oil and gas. And if Britain is too stupid not to frack and increase oil and gas then you can just freeze over winter and see if it results in an attitude adjustment.
90,@BrunoGprop But still you use Middle East gas.  Are you prepared to stop?    Bidens debating reopening the pipeline to get away from reliance on Saudi oil.  Your choices are Russia or Middle East.  Our dependence on certain governments makes our voices flat.
91,"@SenWarren You just don’t get it Pocahontas, every commodity uses oil in its production, is produced with the help of and/or transported by vehicles which consume and/or is manufactured by energy protected by oil/gas!  Energy independence only way to halt inflation! https://t.co/GUfTQjlz7R"
92,"@CTDems The DNC does nothing  about Open Borders,DRUGS flowing thru killing our young,High Inflation, Shortages, High gas heating oil, silence on the 1st violation, high crime....."
93,"@JLinWins Funny coming from the guy running California, home of the gas price $2/gallon higher than any other state because of state taxes. Then he gaslights all his voters into thinking it's the gas/oil companies doing it because they're too stupid to figure it out."
94,"@BuMmuo @PNMbah 🤣🤣🤣🤣 He's just annoying me with all this kind talk. It's obvious he just wants to make promises he can't fulfill... What do you mean by ""your man”🤣🤣🤣... abeg oo, I just dey feel the capacity of Pinnacle Oil and Gas"
95,@GavinNewsom How is that gonna lower gas prices when demand is high and oil refineries have to make a special blend for California?
96,"Newsom, accusing oil industry of price gouging, unveils plan to cap refinery profits https://t.co/gHgXCPf2WA"
97,@RBReich That’s going on now. Albertsons is far more expensive on everything. No reason for it other than greed &amp; politics. No different than gas companies raising prices when oil prices are stable. The price has dropped $1.00 a gallon by me since Election Day. Funny how that works.
98,"@GavinNewsom California has the highest gas tax in the country, and the Gonad that runs the state blames oil companies - what a disgrace: https://t.co/YSfWwzD0QF"
99,"#oil, #LNG, #COM
 https://t.co/upV5nPSPj0"
100,"@mkolken @POTUS Russia had not invaded Ukraine and caused worldwide oil disruption when Trump was in office. And while there has been an increase, gas prices have been increasing way before all this. In fact, they were increasing during Trump's so-called presidency."
