,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28
0,@bayraktar_1love Of Russia is a terrorist state then no EU country should finance their terror by buying the oil and gas from them .,"@BellaWallerstei They have been paying oil and gas companies not to drill in the North Sea to save the planet, whilst at the same time importing oil and gas with a greater environmental footprint at extortionate cost.
Utter madness.",@TrainerGonzo @Belinda71555585 It's that easy to figure out  and he keeps attacking oil no matter how high gas prices go.,"@HouseGOP They tried to stick the gas price hike on Biden.. that didn’t work.. no one believed that Biden can single handedly control the global price of oil.
Now they want to stick global inflation on Biden which also is going to back fire!",@GilHough @KamalaHarris https://t.co/LBgWDBW9xs,"@ChrisMartzWX For well over 40 years, I have pointed out the pure insanity of choosing NOT to drill for oil and gas here where environmental regulations are followed - choosing ONLY countries that NEVER protect the environment such as the Soviet union or Saudi Arabia to provide oil… is NUTS."
1,"@POTUS Under you America has turned to shit 4 dollar gas , 20% increase in grocery prices, home heating oil up 70% ,2.5 million illegals entering our country yea America is doing fine","@BladeoftheS 3 The major difference between UK and other European countries is the UK has greater dependency on oil and gas, and less on wind &amp; nuclear energy","@davidmweissman Clueless! Right he inherited energy independence, record low unemployment across all ethnic groups, low gas and oil prices, no inflation or recession, stocked shelves, no shortages, and the hit parade continues and in two years he fucked everything up!","@AnnieForTruth Yep. I remember when an attendant would pump your gas, check your oil and wash your windshield while you filled up.",@NikkiHaley I agree use our own oil and coal and natural gas.,"@WhiteHouse His executive orders on the energy sector, punishing the gas an oil companies, have caused this inflation, that he says he probably can't do anything about."
2,@HouseGOP Look at all those oil prices that were higher than today's prices. Makes you wonder why gas prices are so high doesn't it? https://t.co/L4B804dsYy,¡Oil &amp; Gas Reporter está disponible! https://t.co/Ic1B1gv14W Gracias a @WorldOil #oilandgas #upstream,@laurenboebert Magic money? You mean from the @NRA right? Or the money that #JaysonBoebert receives from the gas and oil industry? Or the magic campaign finance money that you received and has been reported to the @FCC due to your violations?,"@RBReich -
...and the NATO Supremacists said, ""Let us make the SLAVes (Ukrainians and Russians, of a single root) fight each other like gladiators, so that we may control, once again, the price of gas and oil."" ⛽ ⛽ ⛽ 
-
https://t.co/VhHWgjf26A","Nothing is being offered near Utah’s oil and gas producing regions in eastern Utah, but rather in areas that have not seen much drilling in the past.
https://t.co/bNOLTSYVO8",@manuel_rdgn @SEGOB_mx @adan_augusto @calderonalipi82 @OCV_Tabasco Saludos amigo @enmerka que lleva sin duda una gran labor y una excelente Expo Oil&amp;Gas
3,"Sign the petition: We cannot afford any new coal, oil, or gas projects. Urge Congress to reject fossil fuel handouts. https://t.co/t73xX4p3vz",@binnahar85 Europe wants to boycott Qatar? Are you ready for oil and gas prices to soar to the sky?..LoL,"@thetruthsucks12 @haliwell51 @gmbutts No maybe, it’s for sure. They spent money like there was an unlimited supply. While shutting down our oil and gas sectors. Only to bring in oil for Saudi Arabia. Where they stone people to death, women have no rights.",@Princemoye1 I thought its about those that killed some police officers in Rivers State and abducted the GM of an oil and Gas firm.,@Scott19490 @isaiahrmartin Yeah because reliance on oil and gas is going so well,rtr: U.S. seeks to limit flaring and methane leaks from public lands drilling - President Joe Biden's administration on Monday proposed rules aimed at limiting methane leaks from oil and gas drilling on public lands. By @ValerieVolco @nicholagroom https://t.co/Pi6vCf6RyC
4,¡Oil &amp; Gas Reporter está disponible! https://t.co/XUwLvyaaaA Gracias a @WorldOil #oilandgas #upstream,@TheoFleury14 This was always about $$ and the WEF/ Globalist agenda to take away oil and gas and eradicate the middle class and send us back to the 1800's.,"You are full of it. You shut down our clean crude and you are trying to get dirty nasty oil from Venzsulia. The middle East willnot take ur calls. U are to blame for our gas our inflation, our cost of food is soaring and u just walk around in a fog. Cannot wait for 2024. https://t.co/XPzAay88PP",The big story. Proof that Westminster has been guilty of fraud and deception and has NO legal right to Scotland’s assets including oil and gas. The SNC and Liberation are starting the process to take them to the International Courts. https://t.co/cww1iukcgC,"@RepBoebert Lauren Boebert’s income is almost entirely dependent on payments from big oil and gas, so when she tweets this, what she really means is… https://t.co/2Hq5RxxCG2",¡Oil &amp; Gas Reporter está disponible! https://t.co/4sElaai2ZY Gracias a @WorldOil #oilandgas #upstream
5,"@darrell_arts @POTUS 9.1% record inflation.

$7 a gallon gas

Heating oil rationing 

Diesel fuel shortages 

Food &amp; baby formula shortages

Our allies are being invaded

$85,000,000,000 in military equipment given to terrorists 

1000’s of Americans stranded in Afghanistan 

Looming nuclear war","54% of Quebecers want to see province develop oil and energy projects https://t.co/Y6JRWjS9LT via @truenorthcentre “Contrary to what the government says, Quebecers want the energy sector to develop,” said MEI economist Olivier Rancourt.",@Pb76b4m77cPeter @garythechimp @JohnDun29970028 @Neilsocialist All revenue from oil and gas are accounted for in the Scottish Gov accounts and even with them there we get £12b more out than we put in? Even the SNP recognise this ?,"Canada’s oil and gas sector posted $12 billion in profits last quarter, up nearly $5 billion from the previous third quarter. 

But sure, blame the carbon tax for high heating costs. https://t.co/MEuVWfTaY5","We need island systems in the Philippines to be powered by #renewableenergy exclusively. Let’s  move on from oil and gas. Let’s test it in Palawan, Visayas islands. https://t.co/5CSAvJ9yMa","""We should have learned by now that through exports to China, India, and other Asian countries, Russia continues to set trade surplus records.
A European cap on Russian gas and oil would be a subsidy to China at the expense of European taxpayers."""
6,"@ViralVixen_ @JPerryFarm @laurenboebert directed federal agencies to eliminate all supports for fossil fuels, imposed new regulations on oil, gas &amp; methane emissions all in the first few days of taking office &amp; because of that we hit an all time high inflation. Biden and his administration are a cancer to this country","#Deepwater #oil and #gas production is set to increase by 60% by 2030, to contribute 8% of overall upstream production, according to a new report from Wood Mackenzie",¡Oil &amp; Gas Reporter está disponible! https://t.co/owfgRQtDWq Gracias a @WorldOil #oilandgas #upstream,@PatPanActivist I bought 40 gallons of gas and burned it in my car to own the oil companies,"@cryptoSnapperrr @trytoshi @ARDIGO @dp270 @elonmusk If we go by emitions, electric is more environmentally friendly in the long run. So what if the mines kill the landscape? Oil and gas do the exact same. There is no difference there. Sure you might say that an oil well is smaller. But how about an oil rig, or a coal pit?","@HouseGOP Oh, honey, bless your heart. President Biden isn't in charge of 'choosing' to drill here. That's your #BigOil donors &amp; they are sitting on millions of acres of undeveloped oil and gas leases. They could drill any time they want, but they like their #RecordProfits and so do you."
7,"@GOP Lot's of things are more expensive since voter-dumped Donald Trump did a deal with the Saudi's and OPEC to slash oil production, leading to skyrocketing gasoline prices.

Gas is 50% of inflation!

Thanks for nothing, #Trump and #Republicans!
https://t.co/0Wkb9l6JSs",@NHSWorker16 @Acoveh @Thompsonklay @JackPosobiec Bingo.  Trump was blocking the pipeline those corrupt German leaders were personally profiting from and was trying to increase North American gas and oil output to replace Putin's grip on the European market.   DemoKKKrats hate humanity.,"Trouble ahead for EU. Oil price caps, gas shortages, sky high LNG prices and refugees
https://t.co/7Q0mZPuMI0

The Duran
November 24, 2022

#JanetYellen
#UK #US #Norway 
#Russia #India #China #Turkey
#blackouts #Qatar https://t.co/r4fB0QtiVr","@AndrewScheer Canada’s oil and gas sector posted $12 billion in profits last quarter, up nearly $5 billion from the previous third quarter. 

But sure, blame the carbon tax for high heating costs.",TL/DR: 100% https://t.co/LAjZbiB0qa,"@RepBoebert US is at 90 to 98 % refinery capacity so more oil means nothing if you can't refine it. Of course closing refineries for ""maintenance"" supposedly doesnt help. So busy making gas that they can't switch to refining diesel. All about massive profits by creating artificial shortages."
8,"The insurance industry that has been insuring coal, oil and gas projects for the last 40 years well aware of the results of their emissions. 

Now ordinary people pay the price. 
https://t.co/ObvCM7FwsD","Trouble ahead for EU. Oil price caps, gas shortages, sky high LNG prices and refugees. https://t.co/kjeqSTByNm #TheDuran #EU #LNG #Refugees","@nickofnz @NewshubNationNZ Oil and gas will be your future, whether you commies like it or not. Germany is building new coal plants as I write, they were lecturing us on climate while sniffing on Russian gas. Modern post industrial civilisation is built on Fossil fuels and Ammonia. Go figure.",@cathymcmorris Wake up. We’re totally aware of costs. We’re living it. &amp; shortages now u got the House! Unbelievable y republicans have no idea how to reduce inflation or prices gas food oil. U lied. &amp; r waiting 4  r President’s hard work 2 show reductions so u all can take credit! Dirty liars.,"@RepBoebert Dems want to see the poor people suffering at the gas pumps. 
They want the oil and gas workers laid off. 
Dems would rather help a foreign country than to help our own. 
The comments below are desperately trying to either deflect or justify. 
Never Vote Dem","@mhdksafa Maybe the reason people working full time need food stamps is the price of food and gas.  Who declared war on fossil fuels, Biden.  The price of oil increases the price of transporting goods.  The war on fossil fuels hurt the poor most and Biden is to blame."
9,@WHCOS @POTUS Top accomplishment open borders crime drugs high gas prices high home heating oil inflation CRT in schools last but not least the railroad strike Great Job.,"@SenWarren You are just a liar. The prices increased all because of your shutting off the gas and oil .
You are so much a part of the problem. Joe Biden will burn in hell for what he has done to America.",@WhiteHouse Disaster in Afghanistan record inflation people deciding whether to heat or eat( do to your terrible oil and natural gas policies) don't know how long we can take it. You are the WORST administration  in US history,@jplaya15 @littlebearskye @BillKristol @AngelRe96386095 Yes of course. We have no clue what we are doing. No oil/gas in the North Sea. No domestic terrorist that murdered 69 youth at a summercamp after he bombed a government building where our PM Jens Stoltenberg had his office. And the youth was from his political party. 🤡,"Fuel scarcity: Atiku vows to block leakages, liberalize oil and gas sector https://t.co/dIcAIqeDuf",@DrKidNurse @SuzAtTheLibrary @UnfilteredSteve @blondie0204 @JDCocchiarella I'm sorry but the money that's going to Ukraine is getting money laundered and sent back to the Biden crime family. Infrastructure where? Tax reforms for who? Lauren gas prices by depleting or oil reserves? It is at an all-time low. We go to war we're done because we have no oil
10,"@AshraeChapter @AshraeChile @ashraenews @ASHRAE_RAL Hello everyone,
Please visit https://t.co/qnagBsCJtd to check out many useful courses to up skill yourself.
Many potential job opening are also available.
Thank you
#MEP #HVAC #Electrical #Mechanical #EPC #Oil&amp;Gas",@mdt546 @TrueNorthCentre Alberta sitting on all that oil and gas . . .,"@POTUS Even coal miners?
What about pipeline workers?
How about oil workers?
How about gas engine mechanics?
Well now I feel below the mentality of a four year old because I’ve asked four of the most stupid questions I’ve ever asked in my life!","On Nov 5, $96 per barrel, dropping to $76 per barel on  Nov 25.

In Washington state, most gas stations are charging $5+ for regular. 

The Big Oil companies are screwing us. https://t.co/uHUQ8zNfj4","@PMLN_Wala @saddadmunir @MIshaqDar50 I will try &amp; explain this once more cuz I know khota biryani has made ur growth stunted!
All those countries u've mentioned can afford to take more debt cuz they have multiple revenue sources like oil, gas, IT, textile etc.
We on the other have crap, IK did try to revive the 1/2",@BetteMidler And He killed off the Dinosaurs to make oil and gas for when the sun doesn’t shine and the wind doesn’t blow
11,$AMLP - https://t.co/zsBJQc9O1n - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%,"""We are working hard to hit Russia where it hurts, by buying Russian oil and gas at a markup from third parties not participating in the price cap"" https://t.co/tsMg4lzoKv","@univrsle @_scottreid Yes. It was. 

Do you know how shit works? If that defence is considered acceptable in this instance they will trudge it out whenever it suits oil and gas.","He's probably right, how many windmills and solar units does he say we need to do the same? I think he said the entire USA has to be covered. He is advocating a move from wood to coal to oil to natural gas and Nuclear over time. https://t.co/f7vtQJnoy2","@RepBoebert Lauren, you really have no idea about the oil business, you could at least inform yourself first before you send bs 

https://t.co/Mm0ZYwHV3n","@Ilikedogs29 @RoKhanna If rent is $1,872 a month. That means there is a supply of renters willing to pay that amount. 

If the demand for housing was less the landlord may have to drop the price. If demand is more, he maybe able to raise the rent. 

In the oil &amp; gas business this happens all the time."
